Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
333,SWOS,38805,Queens,39th AVENUE,WOODSIDE AVENUE,45th STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-27T00:00:00,258.09876032,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1008408.084545806 212106.343553558, 1008663.4416466355 212068.82394355536))"
334,SWOS,38806,Queens,39th AVENUE,WOODSIDE AVENUE,45th STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-27T00:00:00,69.0921223951,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1008663.4416466355 212068.82394355536, 1008731.6796991378 212057.99391272664))"
335,Nino's AQ,39232,Queens,DITMARS BOULEVARD,33rd STREET,36th STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,21:00,12:00,21:00,12:00,21:00,2021-03-27T00:00:00,270.050565457,03/26/2022 12:00:00 AM,,"MULTILINESTRING ((1009282.8068777174 221779.5643645674, 1009480.7530041337 221595.86722539365))"
336,Global Community Charter School,39363,Manhattan,WEST 142nd STREET,CHISUM PLACE,5th AVENUE,approvedFull,"mon,tue,wed,thu",09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,,2021-08-30T00:00:00,471.518331094,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((1002392.3006456345 237010.7592958063, 1001975.2132252157 237230.6856932342))"
337,KIPP NYC College Prep,39433,Bronx,EAST 146th STREET,CANAL PLACE,PARK AVENUE,approvedFull,"mon,tue,wed",07:00,16:00,07:00,16:00,07:00,16:00,,,,,,,,,2021-08-30T00:00:00,292.401093553,09/01/2021 12:00:00 AM,,"MULTILINESTRING ((1004671.6274518073 236855.95383113623, 1004948.598682642 236762.22370363772))"
338,PS 110,37681,Brooklyn,MONITOR STREET,NASSAU AVENUE,DRIGGS AVENUE,approvedFull,"mon,tue,wed,thu,fri",08:30,14:00,08:30,14:00,08:30,14:00,08:30,14:00,08:30,14:00,,,,,2021-09-20T00:00:00,925.029766432,06/20/2022 12:00:00 AM,yes,"MULTILINESTRING ((1000264.7861998826 202792.8566031456, 1000149.3599215597 203710.65660481155))"
339,NYCDOT,37689,Brooklyn,DRIGGS AVENUE,MEEKER AVENUE,MONITOR STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-14T00:00:00,265.245338937,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((1000527.9057523906 202826.37064372003, 1000264.7861998826 202792.8566031456))"
340,NYCDOT,37732,Brooklyn,DRIGGS AVENUE,MEEKER AVENUE,MONITOR STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-14T00:00:00,258.800145219,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((1001047.8722321391 202891.94137872756, 1000791.1857376397 202858.93291455507))"
341,NYCDOT,37738,Brooklyn,DRIGGS AVENUE,MEEKER AVENUE,MONITOR STREET,approvedLimited,mon,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-09-14T00:00:00,134.921420756,12/31/2021 12:00:00 AM,no,"MULTILINESTRING ((1001182.1859398931 202904.73269172013, 1001047.8722321391 202891.94137872756))"
342,Blissville Civic Association,37821,Queens,37th STREET,BRADLEY AVENUE,STARR AVENUE,approvedLimited,"sat,sun",,,,,,,,,,,10:00,20:00,10:00,20:00,2021-05-08T00:00:00,446.887195835,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((1002424.8996618092 207024.61388763785, 1002023.6967240572 206827.77799522877))"
343,SWOS,38573,Queens,SKILLMAN AVENUE,43rd STREET,39th PLACE,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-28T00:00:00,260.349823222,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1005681.2396057993 211480.4458552301, 1005938.5980149657 211441.092587471))"
344,SWOS,38575,Queens,SKILLMAN AVENUE,43rd STREET,39th PLACE,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-28T00:00:00,259.752657034,04/25/2022 12:00:00 AM,,"MULTILINESTRING ((1005938.5980149657 211441.092587471, 1006195.3917927146 211401.9978493899))"
